"Tm","Year","Rank","Player","Age","First","Pts Won","Pts Max","Share","G","MP","PTS","TRB","AST","STL","BLK","FG%","3P%","FT%","WS","WS48","Seed","W","L","PER","TS.","Points_Rank","Rebounds_Rank","Assists_Rank","Steals_Rank","Blocks_Rank","Per_Rank","TS_Rank","WS_Rank","Wins_Rank","Sum","All_Points_Rank","All_Rebounds_Rank","All_Assists_Rank","All_Steals_Rank","All_Blocks_Rank","All_Per_Rank","All_TS_Rank","All_WS_Rank","All_Wins_Rank","All_Sum"
"SAS",2016,2,"Kawhi Leonard",24,0,634,1310,0.484,72,33.1,21.2,6.8,2.6,1.8,1,0.506,0.443,0.874,13.7,0.277,2,67,15,26,0.616,5,4,5,3,2,5,3,4,2,31,82,62,91,22,42,59,21,45,5,379
"CLE",2016,3,"LeBron James",31,0,631,1310,0.482,76,35.6,25.3,7.4,6.8,1.4,0.6,0.52,0.309,0.731,13.6,0.242,1,57,25,27.5,0.588,3,3,2,4,3,4,4,5,3,28,60,53,32,55,62,36,48,47,40,346
"OKC",2016,4,"Russell Westbrook",27,0,486,1310,0.371,80,34.4,23.5,7.8,10.4,2,0.3,0.454,0.296,0.812,14,0.245,3,55,27,27.6,0.554,4,2,1,2,4,3,5,3,4,24,70,48,7,14,82,34,74,39,52,329
"OKC",2016,5,"Kevin Durant",27,0,147,1310,0.112,72,35.8,28.2,8.2,5,1,1.2,0.505,0.387,0.898,14.5,0.27,3,55,27,28.2,0.634,2,1,4,5,1,2,2,2,5,19,24,39,59,77,33,27,10,35,53,269
"OKC",2017,1,"Russell Westbrook",28,69,888,1010,0.879,81,34.6,31.6,10.7,10.4,1.6,0.4,0.425,0.343,0.845,13.1,0.224,6,47,35,30.6,0.554,1,1,2,2,4,1,5,3,5,19,6,24,8,38,73,9,75,56,87,233
"HOU",2017,2,"James Harden",27,22,753,1010,0.746,81,36.4,29.1,8.1,11.2,1.5,0.5,0.44,0.347,0.847,15,0.245,3,55,27,27.4,0.613,2,3,1,3,3,3,3,1,2,19,18,41,4,45,68,37,23,30,54,236
"SAS",2017,3,"Kawhi Leonard",25,9,500,1010,0.495,74,33.4,25.5,5.8,3.5,1.8,0.7,0.485,0.38,0.88,13.6,0.264,2,61,21,27.6,0.61,5,4,5,1,1,2,4,2,1,24,55,69,75,23,55,35,26,48,17,338
"CLE",2017,4,"LeBron James",32,1,333,1010,0.33,74,37.8,26.4,8.6,8.7,1.2,0.6,0.548,0.363,0.674,12.9,0.221,2,51,31,27,0.619,4,2,3,4,2,4,2,4,4,25,50,37,15,69,63,45,17,64,69,296
"BOS",2017,5,"Isaiah Thomas",27,0,81,1010,0.08,76,33.8,28.9,2.7,5.9,0.9,0.2,0.463,0.379,0.909,12.5,0.234,1,53,29,26.5,0.625,3,5,4,5,5,5,1,5,3,33,19,100,44,84,90,48,13,71,62,398
"HOU",2018,1,"James Harden",28,86,965,1010,0.955,72,35.4,30.4,5.4,8.8,1.8,0.7,0.449,0.367,0.858,15.4,0.289,1,65,17,29.8,0.619,1,4,3,1,3,1,2,1,1,16,10,79,14,24,56,16,18,25,10,217
"CLE",2018,2,"LeBron James",33,15,738,1010,0.731,82,36.9,27.5,8.6,9.1,1.4,0.9,0.542,0.367,0.731,14,0.221,4,50,32,28.6,0.621,3,3,2,4,2,3,1,2,2,20,34,38,13,56,45,24,15,40,77,225
"NOP",2018,3,"Anthony Davis",24,0,445,1010,0.441,75,36.4,28.1,11.1,2.3,1.5,2.6,0.534,0.34,0.828,13.7,0.241,6,48,34,28.9,0.612,2,1,5,3,1,2,3,3,4,20,27,21,92,46,11,23,24,46,82,244
"POR",2018,4,"Damian Lillard",27,0,207,1010,0.205,73,36.6,26.9,4.5,6.6,1.1,0.4,0.439,0.361,0.916,12.6,0.227,3,49,33,25.2,0.594,4,5,4,5,4,4,4,4,3,34,44,87,35,71,74,64,40,70,79,415
"OKC",2018,5,"Russell Westbrook",29,0,76,1010,0.075,80,36.4,25.4,10.1,10.3,1.8,0.3,0.449,0.298,0.737,10.1,0.166,4,48,34,24.7,0.524,5,2,1,2,5,5,5,5,5,30,57,28,9,25,83,69,96,92,83,367
"MIL",2019,1,"Giannis Antetokounmpo",24,78,941,1010,0.932,72,32.8,27.7,12.5,5.9,1.3,1.5,0.578,0.256,0.729,14.4,0.292,1,60,22,30.9,0.644,3,1,3,4,1,1,1,2,1,16,32,11,45,62,28,5,5,37,21,188
"HOU",2019,2,"James Harden",29,23,776,1010,0.768,78,36.8,36.1,6.6,7.5,2,0.7,0.442,0.368,0.879,15.2,0.254,4,53,29,30.6,0.616,1,4,1,2,2,2,3,1,4,16,1,64,24,15,57,10,22,29,63,193
"OKC",2019,3,"Paul George",28,0,356,1010,0.352,77,36.9,28,8.2,4.1,2.2,0.4,0.438,0.386,0.839,11.9,0.201,6,49,33,23.3,0.583,2,3,5,1,4,5,5,3,5,28,29,40,67,9,75,88,51,76,80,359
"DEN",2019,4,"Nikola Jokic",23,0,212,1010,0.21,80,31.3,20.1,10.8,7.3,1.4,0.7,0.511,0.307,0.821,11.8,0.226,2,54,28,26.3,0.589,5,2,2,3,3,3,4,4,3,26,88,22,27,57,58,51,46,79,59,349
"GSW",2019,5,"Stephen Curry",30,0,175,1010,0.173,69,33.8,27.3,5.3,5.2,1.3,0.4,0.472,0.437,0.916,9.7,0.199,1,57,25,24.4,0.641,4,5,4,5,5,4,2,5,2,34,38,81,53,63,76,72,6,93,41,389
