"Tm","Year","Rank","Player","Age","First","Pts Won","Pts Max","Share","G","MP","PTS","TRB","AST","STL","BLK","FG%","3P%","FT%","WS","WS48","Seed","W","L","PER","TS."
"MIN",2004,1,"Kevin Garnett",27,120,1219,1230,0.991,82,39.4,24.2,13.9,5,1.5,2.2,0.499,0.256,0.791,18.3,0.272,1,58,24,29.4,0.547
"DAL",2004,10,"Dirk Nowitzki",25,0,4,1230,0.003,77,37.9,21.8,8.7,2.7,1.2,1.4,0.462,0.341,0.877,11.5,0.19,5,52,30,22.5,0.561
"MIN",2004,10,"Sam Cassell",34,0,4,1230,0.003,81,35,19.8,3.3,7.3,1.3,0.2,0.488,0.398,0.873,12.1,0.205,1,58,24,22.8,0.566
"NOH",2004,10,"Baron Davis",24,0,4,1230,0.003,67,40.1,22.9,4.3,7.5,2.4,0.4,0.395,0.321,0.673,7.5,0.133,5,41,41,20.7,0.492
"UTA",2004,13,"Andrei Kirilenko",22,0,2,1230,0.002,78,37.1,16.5,8.1,3.1,1.9,2.8,0.443,0.338,0.79,11.6,0.192,9,42,40,22.6,0.559
"DEN",2004,14,"Carmelo Anthony",19,0,1,1230,0.001,82,36.5,21,6.1,2.8,1.2,0.5,0.426,0.322,0.777,6.1,0.098,8,43,39,17.6,0.509
"HOU",2004,14,"Yao Ming",23,0,1,1230,0.001,82,32.8,17.5,9,1.5,0.3,1.9,0.522,0,0.809,11.4,0.202,7,45,37,21.9,0.586
"MIL",2004,14,"Michael Redd",24,0,1,1230,0.001,82,36.8,21.7,5,2.3,1,0.1,0.44,0.35,0.868,9.7,0.154,6,41,41,19.9,0.544
"SAS",2004,2,"Tim Duncan",27,0,716,1230,0.582,69,36.6,22.3,12.4,3.1,0.9,2.7,0.501,0.167,0.599,13.1,0.249,3,57,25,27.1,0.534
"IND",2004,3,"Jermaine O'Neal",25,2,523,1230,0.425,78,35.7,20.1,10,2.1,0.8,2.6,0.434,0.111,0.757,9,0.155,1,61,21,21.1,0.489
"SAC",2004,4,"Peja Stojakovic",26,1,281,1230,0.228,81,40.3,24.2,6.3,2.1,1.3,0.2,0.48,0.433,0.927,13.5,0.198,4,55,27,21.8,0.624
"LAL",2004,5,"Kobe Bryant",25,0,212,1230,0.172,65,37.6,24,5.5,5.1,1.7,0.4,0.438,0.327,0.852,10.7,0.21,2,56,26,23.7,0.551
"LAL",2004,6,"Shaquille O'Neal",31,0,178,1230,0.145,67,36.8,21.5,11.5,2.9,0.5,2.5,0.584,NA,0.49,9.9,0.192,2,56,26,24.4,0.578
"DET",2004,7,"Ben Wallace",29,0,24,1230,0.02,81,37.7,9.5,12.4,1.7,1.8,3,0.421,0.125,0.49,10.2,0.16,3,54,28,17.3,0.441
"NJN",2004,8,"Jason Kidd",30,0,17,1230,0.014,67,36.6,15.5,6.4,9.2,1.8,0.2,0.384,0.321,0.827,7.2,0.141,2,47,35,19.7,0.485
"CLE",2004,9,"LeBron James",19,0,11,1230,0.009,79,39.5,20.9,5.5,5.9,1.6,0.7,0.417,0.29,0.754,5.1,0.078,9,35,47,18.3,0.488
